Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
PORSCHE,'911 GT3RS',TWO-SEATER,4,6,AM7,Z,16.3,11.8,14.3,20,334
BMW,M3,COMPACT,3,6,M6,Z,13.7,9,11.6,24,271
VOLKSWAGEN,'GOLF SPORTWAGON TDI (modified)','STATION WAGON - SMALL',2,4,M6,D,7.6,5.5,6.7,42,179
BMW,'335i xDRIVE SEDAN',COMPACT,3,6,AS8,Z,11.9,7.8,10,28,230
MASERATI,'QUATTROPORTE GTS',FULL-SIZE,3.8,8,AS8,Z,17.6,10.7,14.5,19,334
PORSCHE,CAYMAN,TWO-SEATER,2,4,M6,Z,11,8.3,9.8,29,229
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',3.5,6,A6,E,17.9,13,15.7,18,261
GMC,CANYON,'PICKUP TRUCK - SMALL',2.5,4,A6,X,12,9.2,10.7,26,252
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7,6.1,7,40,161
KIA,'SORENTO 4WD','SUV - SMALL',3.3,6,A6,X,13.4,9.9,11.8,24,271
SCION,FR-S,MINICOMPACT,2,4,M6,Z,10.9,7.9,9.6,29,224
LEXUS,'RC F',SUBCOMPACT,5,8,AS8,Z,15.2,9.5,12.6,22,290
AUDI,'S5 CABRIOLET QUATTRO',SUBCOMPACT,3,6,AM7,Z,13.3,9.1,11.4,25,266
FORD,'F-150 FFV 4X4 (Payload Pkg)','PICKUP TRUCK - STANDARD',5,8,AS6,X,16.8,12.4,14.8,19,347
BMW,'428i COUPE',COMPACT,2,4,M6,Z,10.7,7,9,31,211
HONDA,FIT,'STATION WAGON - SMALL',1.5,4,AV7,X,7.6,6.4,7,40,164
LEXUS,'GX 460','SUV - STANDARD',4.6,8,AS6,Z,16,12.9,14.6,19,341
TOYOTA,'TUNDRA 4WD','PICKUP TRUCK - STANDARD',4.6,8,AS6,X,16.8,12.6,14.9,19,349
BMW,'X6 M','SUV - STANDARD',4.4,8,AS8,Z,16.6,12.1,14.6,19,341
MASERATI,'GHIBLI S',MID-SIZE,3,6,AS8,Z,14.5,10,12.4,23,293
FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,13.5,8.3,11.2,25,258
FORD,FIESTA,SUBCOMPACT,1.6,4,AM6,X,8.6,6.4,7.6,37,179
DODGE,'CHALLENGER GT AWD FFV',MID-SIZE,3.6,6,A8,X,12.8,8.7,11,26,258
DODGE,'CHARGER SRT (MDS)',FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
HONDA,Odyssey,MINIVAN,3.5,6,AS9,X,12.6,8.4,10.7,26,252
FORD,ESCAPE,'SUV - SMALL',2,4,AS6,X,10.9,8,9.6,29,221
DODGE,Challenger,MID-SIZE,5.7,8,M6,Z,15.6,10.1,13.1,22,307
FORD,MUSTANG,SUBCOMPACT,2.3,4,AS6,X,11,7.9,9.6,29,226
GMC,Canyon,'PICKUP TRUCK - SMALL',2.8,4,A6,D,11.8,7.9,10.1,28,270
AUDI,'A5 CABRIOLET QUATTRO',SUBCOMPACT,2,4,AS8,Z,11.3,8,9.8,29,230
TOYOTA,'SEQUOIA 4WD','SUV - STANDARD',5.7,8,AS6,X,18.8,14,16.6,17,382
MERCEDES-BENZ,'E 400 4MATIC',MID-SIZE,3,6,A9,Z,11.8,8.7,10.4,27,246
CHRYSLER,'300 AWD FFV',FULL-SIZE,3.6,6,A8,X,12.8,8.7,11,26,258
PORSCHE,'PANAMERA 4S EXECUTIVE',FULL-SIZE,3,6,AM7,Z,13.7,8.9,11.5,25,264
FORD,'F-150 (Payload Pkg)','PICKUP TRUCK - STANDARD',2.7,6,AS10,X,12.4,9.4,11.1,25,260
FORD,Mustang,SUBCOMPACT,5,8,M6,X,16.1,9.9,13.3,21,312
CHRYSLER,'200 SEDAN FFV',MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242
CHRYSLER,'300 AWD',FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
TOYOTA,'TACOMA 4WD','PICKUP TRUCK - SMALL',4,6,M6,X,15.3,12.3,14,20,322
BMW,'M6 GRAN COUPE',COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,324
BUICK,LACROSSE,MID-SIZE,3.6,6,AS9,X,11.3,7.9,9.7,29,228
GMC,'SIERRA FFV','PICKUP TRUCK - STANDARD',4.3,6,A6,X,13.5,10,11.9,24,280
BMW,'X6 M','SUV - STANDARD',4.4,8,A6,Z,18.1,13.7,16.1,18,370
LINCOLN,'MKT LIVERY','SPECIAL PURPOSE VEHICLE',2,4,AS6,X,11.5,8.5,10.2,28,235
GMC,'YUKON 4WD','SUV - STANDARD',5.3,8,A6,X,15.2,10.8,13.2,21,310
CHEVROLET,EQUINOX,'SUV - SMALL',3.6,6,A6,E,18.8,13.1,16.2,17,259
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.8,8.8,32,202
HONDA,'CIVIC COUPE',COMPACT,2,4,M6,X,8.5,6.1,7.4,38,173
TOYOTA,Corolla,MID-SIZE,1.8,4,AV7,X,8.3,6.7,7.6,37,178
TOYOTA,VENZA,'SUV - SMALL',2.7,4,AS6,X,11.4,8.2,10,28,230
LEXUS,'RX 350 AWD','SUV - SMALL',3.5,6,AS8,X,12.2,8.9,10.7,26,251
CADILLAC,'CT4-V AWD',COMPACT,2.7,4,AS10,Z,11.7,8.4,10.2,28,238
FORD,'EXPLORER FFV AWD','SUV - STANDARD',3.5,6,AS6,E,18.9,13.9,16.7,17,267
VOLKSWAGEN,'BEETLE CONVERTIBLE',SUBCOMPACT,1.8,4,AS6,X,9.8,7.3,8.7,32,200
JEEP,'COMPASS 4X4','SUV - SMALL',2.4,4,A6,X,11.4,8.7,10.2,28,235
MITSUBISHI,RVR,'SUV - SMALL',2,4,AV6,X,9.7,7.8,8.8,32,204
AUDI,'R8 SPYDER',TWO-SEATER,5.2,10,M6,Z,19.9,12,16.4,17,377
MASERATI,'GRANTURISMO CONVERTIBLE',SUBCOMPACT,4.7,8,AS6,Z,18.2,11.6,15.2,19,358
MITSUBISHI,'RVR 4WD','SUV - SMALL',2.4,4,AV6,X,10.3,8.3,9.4,30,219
MASERATI,'QUATTROPORTE GTS',FULL-SIZE,3.8,8,AS8,Z,17.6,10.7,14.5,19,334
JEEP,'NEW WRANGLER UNLIMITED 4X4','SUV - SMALL',3.6,6,A8,X,12.9,10.2,11.7,24,275
GMC,'YUKON XL 4WD','SUV - STANDARD',5.3,8,A6,X,15.4,10.8,13.3,21,312
GMC,'SIERRA FFV','PICKUP TRUCK - STANDARD',4.3,6,A6,X,13.5,10,11.9,24,280
FORD,'F-150 4X4','PICKUP TRUCK - STANDARD',3,6,AS10,D,11.9,9.4,10.8,26,290
RAM,'1500 4X4 (MDS)','PICKUP TRUCK - STANDARD',5.7,8,A6,X,17.7,12.7,15.4,18,362
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE II','SUV - SMALL',3.2,6,A9,X,12.8,9,11.1,25,259
LEXUS,'GX 460','SUV - STANDARD',4.6,8,AS6,Z,15.7,11.8,13.9,20,320
HYUNDAI,Elantra,MID-SIZE,1.6,4,M6,X,10.7,7.8,9.4,30,221
AUDI,'A4 allroad quattro','STATION WAGON - SMALL',2,4,AM7,Z,10,7.4,8.8,32,206
BMW,'428i COUPE',COMPACT,2,4,M6,Z,10.7,7,9,31,211
NISSAN,'TITAN 4WD PRO-4X','PICKUP TRUCK - STANDARD',5.6,8,AS7,X,16,12,14.2,20,333
BUICK,'LACROSSE eASSIST',MID-SIZE,2.5,4,A6,X,9.3,6.7,8.1,35,190
CHEVROLET,'EQUINOX FFV','SUV - SMALL',2.4,4,A6,X,10.5,7.3,9.1,31,209
CHEVROLET,MALIBU,MID-SIZE,1.5,4,A6,X,8.8,6.5,7.8,36,181
'LAND ROVER','RANGE ROVER SPORT V6 3.0 SC FFV','SUV - STANDARD',3,6,AS8,Z,14.2,10.2,12.4,23,285
GMC,'TERRAIN FFV','SUV - SMALL',2.4,4,A6,X,10.5,7.3,9.1,31,214
FORD,'Fusion Hybrid',MID-SIZE,2,4,AV,X,5.5,5.6,5.6,50,131
GMC,'SAVANA 3500 PASSENGER FFV','VAN - PASSENGER',6,8,A6,X,22.2,15.1,19,15,437
LEXUS,'LS 460 AWD',MID-SIZE,4.6,8,AS8,Z,15.2,10.2,12.9,22,303
DODGE,Challenger,MID-SIZE,5.7,8,M6,Z,15.6,10.1,13.1,22,307
SUBARU,'Impreza 5-Door AWD','STATION WAGON - SMALL',2,4,M5,X,10.1,7.7,9,31,211
BMW,'330i xDRIVE GRAN TURISMO',FULL-SIZE,2,4,AS8,Z,10.5,7.4,9.1,31,213
VOLKSWAGEN,CC,COMPACT,2,4,AM6,Z,10.7,7.7,9.3,30,214
GMC,'Sierra 4WD','PICKUP TRUCK - STANDARD',2.7,4,A8,X,12.5,10.8,11.7,24,275
JAGUAR,'F-TYPE Coupe',TWO-SEATER,3,6,M6,Z,14.9,9.8,12.6,22,296
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',2.4,4,AV6,X,9.7,8.1,9,31,207
BMW,'430i xDRIVE CABRIOLET',SUBCOMPACT,2,4,AS8,Z,10.7,7.3,9.1,31,214
GMC,'SAVANA 3500 PASSENGER','VAN - PASSENGER',4.8,8,A6,X,21.3,14.3,18.2,16,419
FIAT,'500 HATCHBACK',MINICOMPACT,1.4,4,M5,X,7.6,5.9,6.8,42,156
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV7,X,8.3,6.7,7.5,38,178
NISSAN,Sentra,MID-SIZE,1.8,4,AV,X,8.1,6.3,7.3,39,172
FORD,F-150,'PICKUP TRUCK - STANDARD',5,8,AS10,X,14.1,10.4,12.4,23,292
TOYOTA,'RAV4 HYBRID AWD','SUV - SMALL',2.5,4,AV6,X,6.9,7.6,7.2,39,169
LEXUS,'GS 200t',MID-SIZE,2,4,AS8,Z,10.6,7.2,9,31,212
VOLKSWAGEN,'Atlas 4MOTION','SUV - STANDARD',3.6,6,AS8,X,13.8,10.2,12.2,23,286
CHEVROLET,SILVERADO,'PICKUP TRUCK - STANDARD',6.2,8,A8,Z,16.1,11.4,14,20,322
DODGE,Challenger,MID-SIZE,5.7,8,M6,Z,15.6,10.1,13.1,22,307
CHEVROLET,TAHOE,'SUV - STANDARD',5.3,8,A6,E,20.2,13.6,17.2,16,275
'ALFA ROMEO','GIULIA QUADRIFOGLIO',MID-SIZE,2.9,6,A8,Z,13.8,9.6,11.9,24,280
MITSUBISHI,RVR,'SUV - SMALL',2,4,M5,X,9.9,7.6,8.8,32,202
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',3,6,AS6,Z,11.5,8.5,10.2,28,235
CADILLAC,XT4,'SUV - SMALL',2,4,AS9,Z,9.8,7.8,8.9,32,209
PORSCHE,BOXSTER,TWO-SEATER,2,4,AM7,Z,10.5,8,9.4,30,219
FORD,'Expedition 4X4','SUV - STANDARD',3.5,6,AS10,X,14.1,10.6,12.5,23,293
FORD,'FLEX AWD','SUV - STANDARD',3.5,6,AS6,X,13.7,10.1,12.1,23,278
VOLVO,'S60 T6 AWD',COMPACT,2,4,AS8,Z,11.1,7.3,9.4,30,218
NISSAN,'NV200 CARGO VAN','SPECIAL PURPOSE VEHICLE',2,4,AV,X,9.7,9,9.4,30,216
BMW,'320i SEDAN',COMPACT,2,4,AS8,Z,10,6.5,8.4,34,193
FORD,'Mustang Convertible (Performance Pkg)',SUBCOMPACT,2.3,4,AS10,X,11.8,8.7,10.4,27,244
BMW,M3,COMPACT,3,6,M6,Z,13.5,9.3,11.6,24,273
HONDA,HR-V,'SUV - SMALL',1.8,4,AV7,X,8.3,6.7,7.6,37,177
VOLKSWAGEN,'Jetta GLI',COMPACT,2,4,M6,X,9.6,7.1,8.5,33,198
'ASTON MARTIN','Vantage V8',TWO-SEATER,4,8,M7,Z,16.7,11.2,14.2,20,333
FORD,'F-150 (Payload Pkg)','PICKUP TRUCK - STANDARD',2.7,6,AS10,X,12.4,9.4,11.1,25,260
HYUNDAI,'Santa Fe XL Ultimate AWD','SUV - SMALL',3.3,6,AS6,X,14.1,10.8,12.6,22,297
CHEVROLET,'Blazer AWD','SUV - SMALL',3.6,6,A9,X,12.7,9.5,11.3,25,265
MERCEDES-BENZ,'METRIS CARGO','SPECIAL PURPOSE VEHICLE',2,4,AS7,Z,11.1,9.1,10.2,28,240
VOLKSWAGEN,'Beetle Dune Convertible',SUBCOMPACT,2,4,AS6,X,9.1,6.9,8.1,35,189
BMW,'X1 xDRIVE28i','SUV - SMALL',2,4,AS8,Z,10.7,7.5,9.3,30,217
CHRYSLER,'Voyager (Stop-Start)',MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27,249
HONDA,'CIVIC SEDAN',MID-SIZE,2,4,AV,X,7.8,6,7,40,163
INFINITI,'QX70 AWD','SUV - SMALL',5,8,AS7,Z,16.6,11.9,14.5,19,334
AUDI,SQ5,'SUV - SMALL',3,6,AS8,Z,14.9,10.1,12.7,22,292
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE I','SUV - SMALL',2.4,4,A9,X,11.3,8.4,10,28,235
NISSAN,FRONTIER,'PICKUP TRUCK - SMALL',4,6,A5,X,14.8,10.6,12.9,22,304
MERCEDES-BENZ,'S 63 AMG 4MATIC',FULL-SIZE,5.5,8,AS7,Z,15.6,10.3,13.2,21,304
JEEP,'RENEGADE FFV','SUV - SMALL',2.4,4,A9,E,14.2,9.9,12.2,23,195
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',5,8,AS10,X,15.1,11.6,13.5,21,317
MINI,'JOHN COOPER WORKS',SUBCOMPACT,2,4,AS6,Z,9.3,7.3,8.4,34,197
BMW,'M240i Cabriolet',SUBCOMPACT,3,6,AS8,Z,11.2,7.8,9.7,29,227
GMC,'YUKON XL 4WD FFV','SUV - STANDARD',5.3,8,A6,X,15.4,10.8,13.3,21,312
TOYOTA,Avalon,MID-SIZE,3.5,6,AS8,X,10.9,7.6,9.4,30,220
CHEVROLET,'Silverado 4WD','PICKUP TRUCK - STANDARD',5.3,8,A8,X,14.7,10.7,12.9,22,303
MERCEDES-BENZ,'AMG CLA 45 4MATIC',COMPACT,2,4,AM7,Z,10.3,7.9,9.2,31,217
GMC,'Yukon XL 4WD','SUV - STANDARD',6.2,8,A10,Z,17.1,11.3,14.5,19,340
AUDI,'A5 CABRIOLET QUATTRO',SUBCOMPACT,2,4,AS8,Z,11.3,8,9.8,29,225
INFINITI,'Q50S AWD',MID-SIZE,3,6,AS7,Z,12.9,9,11.1,25,262
LEXUS,'LS 600h L',MID-SIZE,5,8,AV8,Z,12.7,10.1,11.5,25,268
DODGE,'Challenger (MDS)',MID-SIZE,5.7,8,A8,X,14.7,9.4,12.3,23,289
LEXUS,'RC 350 AWD',SUBCOMPACT,3.5,6,AS6,Z,13.1,9.8,11.2,25,262
HYUNDAI,'TUCSON AWD','SUV - SMALL',2,4,AS6,X,11,9,10.1,28,240
GMC,'SIERRA 4WD','PICKUP TRUCK - STANDARD',4.3,6,A6,E,20,15.1,17.8,16,285
DODGE,'Durango AWD','SUV - STANDARD',3.6,6,A8,X,12.7,9.6,11.3,25,265
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',3.3,6,AS6,E,17.6,13.7,15.8,18,263
JEEP,'NEW WRANGLER UNLIMITED 4X4','SUV - SMALL',3.6,6,A8,X,12.9,10.2,11.7,24,275
PORSCHE,Cayenne,'SUV - STANDARD',3,6,AS8,Z,12.5,10,11.4,25,265
CHEVROLET,'Suburban FFV','SUV - STANDARD',5.3,8,A6,X,15.7,10.5,13.4,21,314
BMW,'428i xDRIVE COUPE',COMPACT,2,4,AS8,Z,10.5,6.9,8.9,32,209
GMC,'SIERRA 4WD FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15,10.7,13.1,22,306
NISSAN,'NV200 CARGO VAN','SPECIAL PURPOSE VEHICLE',2,4,AV,X,10,8.5,9.3,30,214
BMW,'435i xDRIVE COUPE',COMPACT,3,6,AS8,Z,12,7.9,10.2,28,238
PORSCHE,'BOXSTER GTS',TWO-SEATER,3.4,6,AM7,Z,10.9,7.7,9.5,30,222
JEEP,CHEROKEE,'SUV - SMALL',2.4,4,A9,X,10.9,7.7,9.5,30,223
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS8,Z,15.5,9.2,12.7,22,297
MERCEDES-BENZ,'AMG GT S COUPE',TWO-SEATER,4,8,AM7,Z,14.5,10.8,12.8,22,302
BMW,'435i xDRIVE COUPE',COMPACT,3,6,M6,Z,12.3,8.4,10.5,27,247
AUDI,'A3 CABRIOLET QUATTRO',SUBCOMPACT,2,4,AM6,X,10.8,8,9.5,30,223
GMC,'TERRAIN AWD','SUV - SMALL',2,4,A9,Z,11.2,9,10.2,28,239
MITSUBISHI,LANCER,COMPACT,2.4,4,AV6,X,9.8,7.6,8.8,32,204
BUICK,'LACROSSE eASSIST',MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
BMW,'428i COUPE',COMPACT,2,4,M6,Z,10.7,7,9,31,211
BMW,'M4 CABRIOLET',SUBCOMPACT,3,6,M6,Z,13.7,9.1,11.7,24,273
MERCEDES-BENZ,'GLA 250 4MATIC','SUV - SMALL',2,4,AS7,Z,9.8,7.4,8.7,32,200
NISSAN,'JUKE AWD','STATION WAGON - SMALL',1.6,4,AV,Z,9.3,7.9,8.7,32,200
AUDI,'A7 quattro',MID-SIZE,3,6,AM7,Z,10.9,8.2,9.7,29,226
