loan_id,' no_of_dependents',' education',' self_employed',' income_annum',' loan_amount',' loan_term',' cibil_score',' residential_assets_value',' commercial_assets_value',' luxury_assets_value',' bank_asset_value',' loan_status'
1103,1,' Graduate',' Yes',1600000,4900000,16,487,4300000,1100000,3900000,2000000,' Rejected'
2748,1,' Graduate',' Yes',9700000,25500000,18,741,21900000,6200000,34800000,4900000,' Approved'
3889,1,' Not Graduate',' No',9100000,23300000,18,792,800000,12600000,32100000,12400000,' Approved'
2921,1,' Not Graduate',' No',400000,1400000,4,302,200000,100000,1500000,500000,' Approved'
3589,4,' Not Graduate',' Yes',6900000,22000000,10,512,6100000,9100000,20600000,3900000,' Rejected'
1983,2,' Not Graduate',' No',400000,1000000,6,425,800000,300000,800000,200000,' Rejected'
1973,1,' Graduate',' Yes',8300000,17700000,10,673,23700000,5300000,28700000,4200000,' Approved'
254,0,' Graduate',' No',8800000,30900000,12,729,1700000,700000,25700000,11400000,' Approved'
1300,4,' Not Graduate',' No',7600000,30300000,12,339,20400000,8000000,22200000,5800000,' Rejected'
522,3,' Not Graduate',' No',8300000,24100000,14,823,5900000,700000,24000000,7700000,' Approved'
3650,4,' Not Graduate',' Yes',2300000,7700000,16,589,6000000,4400000,6300000,2300000,' Approved'
2581,1,' Graduate',' Yes',7600000,30000000,16,884,13300000,3600000,17200000,10800000,' Approved'
1120,0,' Not Graduate',' Yes',8100000,23800000,10,794,5400000,15500000,20700000,8800000,' Approved'
981,3,' Graduate',' No',3200000,6900000,20,735,1500000,3700000,9200000,3100000,' Approved'
237,3,' Graduate',' Yes',900000,3500000,4,770,700000,0,2000000,600000,' Rejected'
4123,3,' Graduate',' No',7800000,21800000,8,517,7700000,5100000,19500000,9100000,' Rejected'
2740,5,' Graduate',' No',4900000,13000000,10,865,13300000,3700000,14700000,6500000,' Approved'
2763,2,' Not Graduate',' No',1900000,4500000,6,805,2200000,3100000,4800000,2300000,' Approved'
1540,4,' Not Graduate',' Yes',1500000,4600000,6,524,3700000,2000000,5000000,1400000,' Rejected'
1865,2,' Not Graduate',' No',5600000,13700000,2,558,7500000,9300000,12100000,6700000,' Approved'
2261,4,' Not Graduate',' No',8600000,22600000,14,729,300000,16200000,20500000,11900000,' Approved'
1565,2,' Not Graduate',' No',2700000,5900000,14,662,3200000,1600000,7300000,3800000,' Approved'
3448,5,' Not Graduate',' Yes',8200000,20900000,14,726,11400000,4800000,26000000,8400000,' Approved'
25,0,' Not Graduate',' No',4900000,9800000,16,324,3800000,8700000,10000000,3300000,' Rejected'
680,0,' Not Graduate',' Yes',900000,3600000,10,683,1400000,700000,3500000,400000,' Approved'
2105,5,' Not Graduate',' Yes',7700000,15500000,8,407,6500000,9100000,26300000,4600000,' Rejected'
3644,4,' Not Graduate',' Yes',7000000,26700000,4,486,10600000,12200000,18800000,6000000,' Approved'
3044,5,' Not Graduate',' Yes',7600000,25700000,4,607,12900000,13600000,29100000,4900000,' Approved'
636,0,' Not Graduate',' No',5300000,20000000,6,881,15900000,3700000,19500000,4000000,' Approved'
1847,0,' Not Graduate',' No',8500000,17200000,12,624,6500000,8400000,18600000,5100000,' Approved'
760,2,' Graduate',' No',9700000,19900000,16,395,2800000,13700000,37000000,10800000,' Rejected'
2822,4,' Graduate',' No',7600000,25100000,4,671,4600000,13200000,27400000,4300000,' Approved'
669,4,' Not Graduate',' No',2200000,8600000,20,373,4100000,1300000,5900000,1400000,' Rejected'
1904,5,' Graduate',' Yes',2300000,9100000,16,644,4000000,2600000,6600000,3100000,' Approved'
3758,3,' Graduate',' No',2800000,8500000,20,431,6200000,1700000,7800000,2200000,' Rejected'
372,5,' Graduate',' Yes',1100000,3200000,20,592,3200000,700000,3500000,500000,' Approved'
3893,0,' Graduate',' No',9100000,27100000,12,787,24300000,2900000,34800000,9500000,' Approved'
1343,3,' Not Graduate',' No',2400000,8100000,6,630,5100000,2900000,9100000,2300000,' Approved'
3303,3,' Graduate',' Yes',1500000,4100000,14,611,600000,2000000,4800000,2100000,' Approved'
3853,5,' Not Graduate',' No',9000000,23900000,12,658,5700000,4600000,32100000,6100000,' Approved'
1135,2,' Not Graduate',' No',1600000,5200000,16,525,300000,2900000,5600000,1600000,' Rejected'
1155,0,' Graduate',' No',600000,2300000,8,627,1800000,500000,2200000,300000,' Approved'
238,3,' Graduate',' Yes',4100000,15500000,6,667,2800000,1600000,14700000,4000000,' Approved'
4018,3,' Graduate',' Yes',2200000,4400000,2,861,1300000,2600000,4500000,2300000,' Approved'
3055,2,' Not Graduate',' Yes',9200000,33000000,14,874,3900000,9700000,31200000,6600000,' Approved'
2580,0,' Not Graduate',' Yes',3800000,10600000,12,490,3300000,6500000,14400000,3100000,' Rejected'
1275,1,' Graduate',' No',5000000,18800000,14,325,13100000,5700000,12800000,4300000,' Rejected'
3323,4,' Graduate',' Yes',1800000,4600000,14,453,1700000,2400000,4700000,1600000,' Rejected'
458,5,' Graduate',' Yes',8400000,17500000,12,620,15300000,13600000,26000000,5800000,' Approved'
1577,0,' Graduate',' Yes',5900000,15100000,10,794,6000000,4300000,14900000,5400000,' Approved'
4154,1,' Graduate',' No',7700000,17100000,14,603,11100000,12100000,30300000,7100000,' Approved'
2006,4,' Graduate',' Yes',6600000,20500000,8,856,18800000,5400000,15100000,9400000,' Approved'
1976,4,' Not Graduate',' No',4700000,10300000,12,710,7500000,7700000,16900000,6600000,' Approved'
226,0,' Not Graduate',' No',5200000,15600000,20,434,14100000,5800000,18100000,5500000,' Rejected'
1449,1,' Graduate',' No',6400000,16900000,2,703,6300000,7300000,15900000,7400000,' Approved'
1654,3,' Not Graduate',' Yes',6400000,23500000,12,684,17200000,10300000,25300000,7400000,' Approved'
3746,5,' Graduate',' Yes',5700000,11500000,2,732,15800000,3700000,15600000,5300000,' Approved'
610,4,' Not Graduate',' No',8300000,17900000,20,846,12700000,1300000,26800000,12200000,' Approved'
295,0,' Graduate',' No',8800000,20200000,4,433,16000000,4200000,30500000,12400000,' Rejected'
2569,3,' Not Graduate',' Yes',4400000,16300000,20,561,5500000,8000000,12000000,4000000,' Approved'
208,0,' Graduate',' No',7100000,15400000,18,707,10300000,10800000,19600000,5800000,' Approved'
1760,1,' Not Graduate',' Yes',3100000,6300000,20,867,1900000,6100000,6600000,4000000,' Approved'
1030,2,' Not Graduate',' Yes',9500000,37000000,8,887,21800000,18300000,19200000,11700000,' Approved'
1872,2,' Graduate',' Yes',4900000,12200000,18,353,7000000,200000,14400000,3600000,' Rejected'
789,4,' Not Graduate',' No',1200000,4300000,8,598,1600000,1800000,3200000,1300000,' Approved'
1975,3,' Graduate',' No',4600000,10000000,4,702,6800000,1500000,16100000,4500000,' Approved'
4197,2,' Graduate',' Yes',7800000,28900000,14,646,1800000,1800000,17700000,11000000,' Approved'
1372,0,' Not Graduate',' No',6000000,15300000,8,709,8900000,1700000,16400000,3500000,' Approved'
896,0,' Graduate',' No',9400000,27900000,6,456,21400000,18500000,35600000,7800000,' Rejected'
72,5,' Graduate',' Yes',5300000,18600000,4,386,2700000,9700000,11900000,4200000,' Approved'
3541,1,' Graduate',' No',7900000,15800000,8,551,800000,3500000,18700000,8300000,' Approved'
3347,4,' Graduate',' No',9400000,33300000,18,369,20600000,5600000,32200000,7200000,' Rejected'
2482,3,' Not Graduate',' Yes',2100000,7400000,4,320,3300000,2700000,6300000,2200000,' Approved'
3433,0,' Not Graduate',' No',4800000,15700000,10,398,4900000,7400000,17100000,6400000,' Rejected'
3294,3,' Not Graduate',' Yes',9400000,32100000,10,617,22700000,5800000,29400000,11400000,' Approved'
3654,1,' Graduate',' Yes',4300000,17200000,4,564,10400000,6600000,11500000,2200000,' Approved'
1943,4,' Graduate',' No',8700000,19800000,14,715,13500000,13400000,32000000,8500000,' Approved'
704,4,' Not Graduate',' Yes',6700000,15800000,12,466,7500000,4600000,19900000,6600000,' Rejected'
2625,4,' Graduate',' No',1800000,4100000,8,777,2200000,2500000,3600000,1900000,' Approved'
4187,3,' Not Graduate',' Yes',4000000,8600000,4,667,11500000,6300000,15300000,3500000,' Approved'
1135,2,' Not Graduate',' No',1600000,5200000,16,525,300000,2900000,5600000,1600000,' Rejected'
1036,2,' Not Graduate',' Yes',3800000,12500000,14,842,3700000,6700000,14600000,5300000,' Approved'
2263,0,' Graduate',' No',7400000,24900000,20,648,7100000,7900000,23300000,6200000,' Approved'
747,0,' Not Graduate',' No',2600000,8400000,18,861,0,3500000,6200000,3800000,' Approved'
3453,5,' Not Graduate',' Yes',2300000,5000000,10,431,300000,3700000,8700000,2900000,' Rejected'
719,4,' Graduate',' No',700000,2600000,14,736,2100000,600000,1900000,400000,' Approved'
2969,2,' Graduate',' No',9700000,34500000,10,649,10600000,7600000,24800000,5900000,' Approved'
981,3,' Graduate',' No',3200000,6900000,20,735,1500000,3700000,9200000,3100000,' Approved'
1480,5,' Graduate',' No',7600000,26000000,6,778,12900000,2400000,25500000,10900000,' Approved'
3886,2,' Not Graduate',' Yes',4500000,16600000,4,679,10300000,3100000,11700000,5000000,' Approved'
3668,4,' Not Graduate',' Yes',6300000,16900000,16,582,16000000,3600000,23700000,6000000,' Approved'
1831,5,' Graduate',' No',2700000,7600000,8,746,900000,2200000,7200000,3400000,' Approved'
1580,5,' Graduate',' No',1800000,6800000,18,457,2200000,1100000,3800000,1400000,' Rejected'
4061,3,' Not Graduate',' No',5800000,20600000,20,434,8400000,2700000,22600000,7000000,' Rejected'
1194,2,' Not Graduate',' Yes',2100000,5600000,16,426,400000,300000,7100000,1200000,' Rejected'
119,0,' Not Graduate',' No',7200000,15800000,12,379,12700000,12200000,21500000,3600000,' Rejected'
469,1,' Graduate',' Yes',6200000,16900000,2,396,10600000,7500000,23700000,7600000,' Rejected'
231,1,' Graduate',' Yes',4000000,10900000,14,598,3600000,6600000,13600000,4400000,' Approved'
2485,5,' Graduate',' No',3100000,10500000,6,584,7700000,2100000,10900000,2900000,' Approved'
2056,1,' Graduate',' No',4700000,9300000,8,515,1000000,4700000,14600000,5700000,' Rejected'
2957,3,' Not Graduate',' No',3600000,9800000,12,654,600000,1300000,7500000,2200000,' Approved'
2135,2,' Not Graduate',' Yes',8500000,26900000,6,538,21300000,16400000,21500000,4600000,' Rejected'
486,4,' Graduate',' No',1600000,4900000,8,685,3200000,2000000,3800000,1500000,' Approved'
312,4,' Graduate',' No',5900000,16800000,8,481,6900000,11400000,19500000,3300000,' Rejected'
3373,4,' Graduate',' Yes',7000000,27100000,12,881,8300000,9400000,17200000,9500000,' Approved'
2676,4,' Graduate',' Yes',5400000,17100000,2,533,13800000,5100000,12200000,4700000,' Approved'
4125,3,' Not Graduate',' Yes',7000000,26100000,18,689,17200000,5700000,20500000,5900000,' Approved'
215,2,' Not Graduate',' Yes',6700000,15200000,10,689,0,8200000,15000000,6800000,' Approved'
3464,0,' Graduate',' Yes',7400000,15200000,12,600,6200000,8500000,18800000,4100000,' Approved'
2465,1,' Not Graduate',' No',1500000,6000000,6,507,2600000,2700000,4800000,1900000,' Rejected'
1560,1,' Graduate',' Yes',7500000,29800000,18,770,1400000,5200000,28000000,8700000,' Approved'
574,3,' Graduate',' No',3100000,11000000,2,543,5900000,2200000,9000000,2400000,' Approved'
3945,0,' Graduate',' No',8900000,21600000,10,552,2300000,9900000,20700000,11900000,' Approved'
435,3,' Graduate',' No',8800000,18100000,6,699,6400000,2100000,18500000,9400000,' Approved'
3672,3,' Graduate',' Yes',4400000,15300000,16,865,1200000,8400000,15000000,3400000,' Approved'
3632,3,' Graduate',' No',9800000,21000000,12,342,25400000,16600000,26900000,7000000,' Rejected'
2302,4,' Not Graduate',' No',600000,1600000,6,784,300000,100000,1900000,500000,' Approved'
3146,1,' Not Graduate',' Yes',8900000,22900000,4,757,8200000,11600000,17800000,7800000,' Approved'
719,4,' Graduate',' No',700000,2600000,14,736,2100000,600000,1900000,400000,' Approved'
3269,2,' Not Graduate',' Yes',7900000,22500000,6,571,8100000,5300000,17900000,8100000,' Approved'
159,5,' Graduate',' Yes',700000,1300000,20,704,1600000,0,2200000,600000,' Approved'
